File;Sample;Sample ID;Parameter, Goal;Value;ESD;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;QCalcite;0,9890;0,0039;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;QGraphite2h;0,0021;0,0019;;;0,9925
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;QGraphite3r;0,0088;0,0034;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;Rwp;375400,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;Rexp;349800,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;Chi2;11517,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t01.lst;Cal_t01;Cal_t01;GOF;10732,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;QCalcite;0,9950;0,0016;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;QGraphite2h;0,0050;0,0016;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;QGraphite3r;0,0000;0,0000;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;Rwp;265800,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;Rexp;242600,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;Chi2;12004,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t02.lst;Cal_t02;Cal_t02;GOF;10956,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;QCalcite;0,9925;0,0014;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;QGraphite2h;0,0042;0,0012;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;QGraphite3r;0,0033;0,0009;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;Rwp;173900,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;Rexp;153200,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;Chi2;12885,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t05.lst;Cal_t05;Cal_t05;GOF;11351,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;QCalcite;0,9945;0,0008;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;QGraphite2h;0,0000;0,0000;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;QGraphite3r;0,0055;0,0008;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;Rwp;125700,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;Rexp;110300,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;Chi2;12987,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t10.lst;Cal_t10;Cal_t10;GOF;11396,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;QCalcite;0,9919;0,0014;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;QGraphite2h;0,0000;0,0000;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;QGraphite3r;0,0081;0,0014;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;Rwp;126800,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;Rexp;110500,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;Chi2;13168,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t15.lst;Cal_t15;Cal_t15;GOF;11475,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;QCalcite;0,9914;0,0013;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;QGraphite2h;0,0000;0,0000;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;QGraphite3r;0,0086;0,0013;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;Rwp;97900,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;Rexp;80200,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;Chi2;14901,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t20.lst;Cal_t20;Cal_t20;GOF;12207,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;QCalcite;0,9913;0,0011;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;QGraphite2h;0,0047;0,0011;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;QGraphite3r;0,0041;0,0008;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;Rwp;86800,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;Rexp;72300,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;Chi2;14413,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/Cal_t25.lst;Cal_t25;Cal_t25;GOF;12006,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;QCalcite;0,9945;0,0021;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;QGraphite3r;0,0031;0,0012;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;QGraphite2h;0,0025;0,0010;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;Rwp;67800,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;Rexp;52400,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;Chi2;16742,0000;;;;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Cal/t50/Cal_t50.lst;Cal_t50;Cal_t50;GOF;12939,0000;;;;
